Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Unit Price,Unit Cost,Quantity,Discount,Sales,Profit
1,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,BIS-CRA-001,Biscuits,Cracker,Salt Crackers,2.6,1.79,2,0,5.2,1.61
2,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,SNK-POP-001,Snacks,Popcorn,Caramel Popcorn,3.4,2.28,3,0,10.2,3.37
3,CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,CND-GUM-001,Candy,Gummy,Bear Gummies,2.8,1.85,2,0,5.6,1.79
4,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,CND-GUM-002,Candy,Gummy,Fruit Gummies,3.2,2.08,5,0.45,8.8,2.29
5,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,SNK-POP-001,Snacks,Popcorn,Caramel Popcorn,3.4,2.28,2,0.2,5.44,1.58
6,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,7,0,62.3,28.04
7,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,BIS-COO-001,Biscuits,Cookie,Butter Cookies,4.2,2.69,4,0,16.8,6.05
8,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,6,0.2,13.92,3.48
9,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,3,0.2,6.96,1.74
10,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,5,0,14.5,4.2
11,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,9,0.2,37.44,11.61
12,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,CND-HRD-001,Candy,Hard Candy,Mint Candy,1.8,1.26,4,0.2,5.76,1.5
13,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,BIS-CRA-001,Biscuits,Cracker,Salt Crackers,2.6,1.79,3,0.2,6.24,1.68
14,CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,3,0.2,21.36,8.76
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,5,0.8,2.9,0.35
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,CHO-DRK-002,Chocolate,Dark Chocolate,Cocoa Premium,5.5,3.19,3,0.8,3.3,0.82
17,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,CND-LOP-002,Candy,Lollipop,Cola Lollipop,1.6,1.15,6,0,9.6,2.69
18,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,2,0,17.8,8.01
19,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,CHO-DRK-001,Chocolate,Dark Chocolate,70% Dark Bar,4.8,2.88,2,0,9.6,3.84
20,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,3,0.2,12.48,3.87
21,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,CND-LOP-001,Candy,Lollipop,Strawberry Lollipop,1.5,1.08,4,0.2,4.8,1.15
22,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,7,0,20.3,5.48
23,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,7,0,20.3,5.48
24,US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,BIS-WAF-001,Biscuits,Wafer,Vanilla Wafer,3.2,2.14,2,0.3,4.48,1.21
25,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,3,0,15.6,5.46
26,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,SNK-POP-001,Snacks,Popcorn,Caramel Popcorn,3.4,2.28,2,0.2,5.44,1.58
